,Username,Link,Text,Human,Chat GPT (AI),Date
,nathan15085,https://www.tiktok.com/@nathan15085,yah baru mau beli yang  seratus mili malah kosong,Negatif,Negatif,24/02/2024
,coleh70,https://www.tiktok.com/@coleh70,mau nanya ka ini untuk kulit atau khusus pakaian?,Netral,Netral,23/02/2024
,achad_08,https://www.tiktok.com/@achad_08,"buat ketahanan nya tidak sesuai dengan deskripsi, setiap dua jam sekali harus semprot",Negatif,Negatif,23/02/2024
,adminsurgawii,https://www.tiktok.com/@adminsurgawii,iya dari wangi nya sesuai sama deskripsi,Positif,Positif,23/02/2024
,mas.ardys,https://www.tiktok.com/@mas.ardys,Strong dan bold banget asli mr crush black,Positif,Positif,23/02/2024
,bangjo_1928,https://www.tiktok.com/@bangjo_1928,"botol retak, padahal di bubble wrap satu per satu",Negatif,Negatif,23/02/2024
,husnulkarim_,https://www.tiktok.com/@husnulkarim_,mau nanya dong ka ini parfum nya bisa tahan berapa jam ka?,Netral,Netral,23/02/2024
,sutik63,https://www.tiktok.com/@sutik63,rekomendasi dong ka buat cowok wangi soft kerja outdoor tahan lama apa ka?,Netral,Netral,23/02/2024
,fikrimalik1,https://www.tiktok.com/@fikrimalik1,aku beli di tokopedia langsung cepet ilang wangi nya,Negatif,Negatif,23/02/2024
,pangerantersesat1,https://www.tiktok.com/@pangerantersesat1,Bahan botol nya tidak berkualitas tinggi dan mudah rusak,Negatif,Negatif,23/02/2024
,nama_nya_bagus,https://www.tiktok.com/@nama_nya_bagus,itu berapa ka?,Netral,Netral,23/02/2024
,pelautpurapura27,https://www.tiktok.com/@pelautpurapura27,yah aku beli yang palsu ka,Negatif,Negatif,23/02/2024
,obengmin03,https://www.tiktok.com/@obengmin03,kemarin beli segel rusak,Negatif,Negatif,23/02/2024
,idthebest,https://www.tiktok.com/@idthebest,"kemaren beli salah toko, jadi dapet yang palsu",Negatif,Negatif,23/02/2024
,lumra18,https://www.tiktok.com/@lumra18,belum percaya aku kalau ada parfum tahan nya dua belas jam,Negatif,Netral,22/02/2024
,bonev.fac66,https://www.tiktok.com/@bonev.fac66,"aku mau tanya dong ka,scentplus yang di lazada itu,asli scentplus ?",Netral,Netral,22/02/2024
,atang_mr,https://www.tiktok.com/@atang_mr,yah kalau yang asli mungkin. iklan yang asli di kirim yang palsu,Negatif,Negatif,22/02/2024
,pujokipszz,https://www.tiktok.com/@pujokipszz,cek harga ka,Netral,Netral,22/02/2024
,owner_szihuka,https://www.tiktok.com/@owner_szihuka,rekomendasi dong ka parfum yang wangi nya mirip sama minyak wangi Casablanca apa ka,Netral,Netral,22/02/2024
,konco5067,https://www.tiktok.com/@konco5067,Yah ga bisa beli karena masih belum ada dominant tiga puluh lima mili,Negatif,Negatif,22/02/2024
,pecintaalam298,https://www.tiktok.com/@pecintaalam298,aku beli di sini wangi nya cuma tahan satu jam,Negatif,Negatif,22/02/2024
,ariees_2403,https://www.tiktok.com/@ariees_2403,Botol parfum dominant memiliki desain yang mewah,Positif,Positif,22/02/2024
,aturanakmuiya,https://www.tiktok.com/@aturanakmuiya,untuk ketahanan dominant kalah telak lawan hrny premium dan side effect,Negatif,Negatif,22/02/2024
,raihangalih,https://www.tiktok.com/@raihangalih,saran varian yang seratus mili dong ka,Netral,Netral,22/02/2024
,teponkae,https://www.tiktok.com/@teponkae,"Jujur untuk aroma, saya suka banget sama yang dominant",Positif,Positif,22/02/2024
,aarohman_13,https://www.tiktok.com/@aarohman_13,rekomendasi varian yang mana ka,Netral,Netral,22/02/2024
,ridho.roman.syah,https://www.tiktok.com/@ridho.roman.syah,kak parfum dominant itu buat di luar ruangan atau di dalam ruangan kak?,Netral,Netral,22/02/2024
,viaamanda28,https://www.tiktok.com/@viaamanda28,aku udah beli tapi lebih enak side effect kak kalau dominan kurang sih menurut aku,Negatif,Negatif,21/02/2024
,stefanly16,https://www.tiktok.com/@stefanly16,ini asli gak ka aku udah beli beberapa kali di online tapi hasil nya tetap mengecewakan,Negatif,Negatif,21/02/2024
,bosmaphack,https://www.tiktok.com/@bosmaphack,"aku pake itu malah sakit kepala,terlalu kuat aroma nya",Negatif,Negatif,21/02/2024
,bangsaman_32,https://www.tiktok.com/@bangsaman_32,mahal banget harga nya,Negatif,Negatif,21/02/2024
,daengmusji,https://www.tiktok.com/@daengmusji,pengiriman ke jakarta berapa lama ka,Netral,Netral,21/02/2024
,selatan_nkri,https://www.tiktok.com/@selatan_nkri,"aku beli di sini kata nya official resmi, ternyata wangi nya emang gak tahan lama paling lama satu jam",Negatif,Negatif,21/02/2024
,hibernationnn,https://www.tiktok.com/@hibernationnn,tiga sampai empat jam doang ini taha nnya. Extrait itu cuma gimmick. Masa side effect sama dominant lebih tahan lama side effect,Negatif,Negatif,21/02/2024
,pesawat_kertas0,https://www.tiktok.com/@pesawat_kertas0,"kalau di aplikasi oren apa nama toko nya ka,tolong di jawab ka",Netral,Netral,21/02/2024
,yeremia.yusuf.pra,https://www.tiktok.com/@yeremia.yusuf.pra,mau nanya ka yang ukuran tiga puluh lima mili kosong ya kak,Netral,Netral,21/02/2024
,etkfd0384638,https://www.tiktok.com/@etkfd0384638,mengecewakan gak bisa cod,Negatif,Negatif,21/02/2024
,bsdru12,https://www.tiktok.com/@bsdru12,benerin dong itu tutup botol nya jelek banget kualitas nya gampang lepas,Negatif,Netral,21/02/2024
,fansbjorka00,https://www.tiktok.com/@fansbjorka00,aku udah beli emang sewangi itu,Positif,Positif,21/02/2024
,hafidz_indonesia,https://www.tiktok.com/@hafidz_indonesia,aku beli gak tahan lama,Negatif,Negatif,21/02/2024
,vjar_raditia07,https://www.tiktok.com/@vjar_raditia07,buat anak sekolah upacara yang mana ka,Netral,Netral,21/02/2024
,rapaatr,https://www.tiktok.com/@rapaatr,rekomendasi buat pelajar kak,Netral,Netral,20/02/2024
,boycrzy5,https://www.tiktok.com/@boycrzy5,Parfum aneh wangi apaan kaya cat tembok bikin mual mual mencium aroma nya,Negatif,Negatif,20/02/2024
,ath_hms.mmofc,https://www.tiktok.com/@ath_hms.mmofc,saran buat motoran ka,Netral,Netral,20/02/2024
,pelautpurapura27,https://www.tiktok.com/@pelautpurapura27,"Botol parfum nya keras di pencet
",Negatif,Negatif,20/02/2024
,beutikcilikvoices,https://www.tiktok.com/@beutikcilikvoices,dominant cocok ga ka buat outdor?,Netral,Netral,20/02/2024
,adityfch,https://www.tiktok.com/@adityfch,yah salah beli aku yang kerja di outdoor tapi malah beli side effect,Negatif,Negatif,20/02/2024
,dwiezt,https://www.tiktok.com/@dwiezt,Parah admin nya mau nanya ga di jawab jawab,Negatif,Negatif,20/02/2024
,awanhamesa2823,https://www.tiktok.com/@awanhamesa2823,stok dominant yang tiga puluh lima mili selalu ga ada,Negatif,Negatif,20/02/2024
,rizkyp720,https://www.tiktok.com/@rizkyp720,saran parfum buat anak sekolah yang cocok apa kak,Netral,Netral,20/02/2024
,pelautpurapura27,https://www.tiktok.com/@pelautpurapura27,palsu yang aku terima,Negatif,Negatif,20/02/2024
,trabasae,https://www.tiktok.com/@trabasae,rekomendasi yang buat cewe kalau di pakai siang hari buat sekolah tidak mual apa kak?,Netral,Netral,20/02/2024
,pecinta.mamahmuda,https://www.tiktok.com/@pecinta.mamahmuda,"minta rekomendasi yang bau nya tidak mencolok dan tidak bikin mual, kak",Netral,Netral,20/02/2024
,user6921565658614,https://www.tiktok.com/@user6921565658614,aku sudah beli wanggi nya biasa aja ,Negatif,Netral,20/02/2024
,indraaditama111,https://www.tiktok.com/@indraaditama111,emang sewangi itu dominant,Positif,Positif,19/02/2024
,hawk230891,https://www.tiktok.com/@hawk230891,varian scentplus yang cocok buat outdoor apa ka,Netral,Netral,19/02/2024
,raskamoonfietra_,https://www.tiktok.com/@raskamoonfietra_,bubble nya kurang tebel jadi pecah botol nya,Negatif,Negatif,19/02/2024
,winwen23,https://www.tiktok.com/@winwen23,mahal banget mbak,Negatif,Negatif,19/02/2024
,danxdam,https://www.tiktok.com/@danxdam,wangi kalem yang mana ka,Netral,Netral,19/02/2024
,ayhie12,https://www.tiktok.com/@ayhie12,"tetap wangi DOMINANT yang jadi andala aku, kayak ada manis manis nya gitu",Positif,Positif,19/02/2024
,link.010,https://www.tiktok.com/@link.010,parfum scentplus yang cocok buat anak sekolah apa kak,Netral,Netral,19/02/2024
,mukliskecipungkup,https://www.tiktok.com/@mukliskecipungkup,"pro player aku kok beda bau nya ka sama punya temen aku,, enakan punya dia padahal sama sama beli di official scentplus",Negatif,Negatif,19/02/2024
,clarkkentpaat,https://www.tiktok.com/@clarkkentpaat,ga sampai satu jam wangi nya udah ilang,Negatif,Negatif,19/02/2024
,kaitam86,https://www.tiktok.com/@kaitam86,saran aroma vanila buat anak sekolah kak,Netral,Netral,19/02/2024
,adiyatmanr,https://www.tiktok.com/@adiyatmanr,Dari dulu makai dominant gak pernah kecewa,Positif,Positif,19/02/2024
,azwardi2,https://www.tiktok.com/@azwardi2,"aku baru datang barang nya, sekali coba langsung ketagihan",Positif,Positif,19/02/2024
,entahseiapakamu,https://www.tiktok.com/@entahseiapakamu,emang bener sih dominant ini bikin pasangan nyaman terus,Positif,Positif,19/02/2024
,bungtama10,https://www.tiktok.com/@bungtama10,bikin baju kuning gak ka,Netral,Netral,19/02/2024
,achongboombers,https://www.tiktok.com/@achongboombers,dominant cocok buat sekolah gak kak,Netral,Netral,19/02/2024
,inoy_tt,https://www.tiktok.com/@inoy_tt,kotak pengiriman nya di ganti dong kak tipes banget kotak nya,Negatif,Negatif,19/02/2024
,ham_adjza19,https://www.tiktok.com/@ham_adjza19,saran yang wangi kaya abis mandi buat anak sekolah dong kak,Netral,Netral,19/02/2024
,fajarshodiqqq,https://www.tiktok.com/@fajarshodiqqq,yang seratus mili berapa harga nya ka,Netral,Netral,19/02/2024
,arifcleaner7,https://www.tiktok.com/@arifcleaner7,yang pasti nya pakai dominant bikin pasangan makin nyaman aku udah buktiin,Positif,Positif,18/02/2024
,armhx0,https://www.tiktok.com/@armhx0,mau nanya ka ada yang wangi vanila tidak? ,Netral,Netral,18/02/2024
,maribeliapaaja,https://www.tiktok.com/@maribeliapaaja,mau dong parfum lokal terenak ini kak,Positif,Positif,18/02/2024
,roneyoneilsitumorang,https://www.tiktok.com/@roneyoneilsitumorang,Udah punya semua itu. Cuma side effect yang paling enak dan yang paling aku suka,Positif,Positif,18/02/2024
,angkel85,https://www.tiktok.com/@angkel85,beli nya dimana yah ka,Netral,Netral,18/02/2024
,aseng.jr69,https://www.tiktok.com/@aseng.jr69,tetap pelanggan setia dominant dan side effect,Positif,Positif,18/02/2024
,hdestsore,https://www.tiktok.com/@hdestsore,beli di mana kak ...parfum scentplus nya,Netral,Netral,18/02/2024
,icha_chan40,https://www.tiktok.com/@icha_chan40,kak nama toko nya di lazada apa kak,Netral,Netral,18/02/2024
,cotabims,https://www.tiktok.com/@cotabims,rekomendasi parfum buat sehari hari dong ka,Netral,Netral,18/02/2024
,imanez987,https://www.tiktok.com/@imanez987,wangi side effect ga enak banget sumpah gak suka aku sama wangi nya,Negatif,Negatif,18/02/2024
,djagapramudita20,https://www.tiktok.com/@djagapramudita20,"Ini parfum pacar aku, wangi nya enak dan tahan lama banget",Positif,Positif,18/02/2024
,arifcleaner7,https://www.tiktok.com/@arifcleaner7,parfum buat cewek sma dong ka ?,Netral,Netral,18/02/2024
,sangmentari348,https://www.tiktok.com/@sangmentari348,jelasin  dong ka harga nya mulai dari ukuran terkecil sampai besar,Netral,Netral,18/02/2024
,slenderman_pkng,https://www.tiktok.com/@slenderman_pkng,dominant bikin pusing masih enak side effect,Negatif,Negatif,18/02/2024
,77anakrimba,https://www.tiktok.com/@77anakrimba,parfum ini wajib aku punya pokok nya mantap wangi nya untuk cowok,Positif,Positif,17/02/2024
,viralindisini123,https://www.tiktok.com/@viralindisini123,ka mau nanya itu alkohol apa bukan ya,Netral,Netral,17/02/2024
,rizkyy_irw,https://www.tiktok.com/@rizkyy_irw,mau nanya dong ka yang varian sepuluh mili itu metode gosok atau semprot ka?,Netral,Netral,17/02/2024
,arrofisyaqieb4,https://www.tiktok.com/@arrofisyaqieb4,dominant ini emang bikin ketagihan wangi nya,Positif,Positif,17/02/2024
,hygbogakabogoh,https://www.tiktok.com/@hygbogakabogoh,Mahal banget harga nya buat anak sekolah ka,Negatif,Negatif,17/02/2024
,wildfree30,https://www.tiktok.com/@wildfree30,mr crush black emang terenak dan cocok buat  berkeringat ,Positif,Positif,17/02/2024
,bung.chun.kasau,https://www.tiktok.com/@bung.chun.kasau,kenapa aku sudah tidak bisa COD kalau mau beli Saat Live,Negatif,Negatif,17/02/2024
,laze.id,https://www.tiktok.com/@laze.id,varian dominant enak gak kak,Netral,Netral,17/02/2024
,klinikwangi,https://www.tiktok.com/@klinikwangi,banyak yang palsu ka,Negatif,Negatif,17/02/2024
,chandra2405,https://www.tiktok.com/@chandra2405,dulu hampir pernah ketipu beli dominant yang beli satu dapet tiga harga sembilan puluh ribu,Negatif,Negatif,17/02/2024
,maz_aaady,https://www.tiktok.com/@maz_aaady,udah beli dominant lima puluh mili gak sabar datang nya penasaran harum nya seperti apa,Positif,Positif,17/02/2024
,_notmeag4in,https://www.tiktok.com/@_notmeag4in,buat sehari hari yang cocok beli yang berapa mili ka,Netral,Netral,17/02/2024
,bung.chun.kasau,https://www.tiktok.com/@bung.chun.kasau,"aku sering belanja saat live,tapi kok kenapa aku pas mau beli tidak bisa cod lagi ka",Negatif,Negatif,17/02/2024
,panggil_ajaoe,https://www.tiktok.com/@panggil_ajaoe,parfum oplosan,Negatif,Negatif,17/02/2024
,dicksonhendriina70,https://www.tiktok.com/@dicksonhendriina70,gak tahan lama,Negatif,Negatif,16/02/2024
,amirchafidzin1907,https://www.tiktok.com/@amirchafidzin1907,ke bandung berapa hari kak,Netral,Netral,16/02/2024
,no.name_69.96,https://www.tiktok.com/@no.name_69.96,kakak aku udah langganan parfum scentplus dari sekolah emang nikmat banget wangi nya,Positif,Positif,16/02/2024
,randirandi5531,https://www.tiktok.com/@randirandi5531,aku pesan yang ini kemaren kayak kebanyakan alkohol kak,Negatif,Negatif,16/02/2024
,podiktrans,https://www.tiktok.com/@podiktrans,"Sedikit masukan kemarin aku beli yang side effect,alkohol nya kebanyakan kak",Negatif,Negatif,16/02/2024
,withcatalyzer1,https://www.tiktok.com/@withcatalyzer1,Gak tahan lama di kulit,Negatif,Negatif,16/02/2024
,ratihh24___,https://www.tiktok.com/@ratihh24___,kalo yang besar nya berapa mili kak,Netral,Netral,16/02/2024
,ibnukham_,https://www.tiktok.com/@ibnukham_,aku beli yang tiga puluh lima milih. tapi wangi nya gak tahan lama. mending beli parfum isi ulang wangi nya kuat dan tahan lama,Negatif,Negatif,16/02/2024
,danstotti,https://www.tiktok.com/@danstotti,mau nanya ka parfum ini cara pakai nya di semprotkan di baju apa badan kak?,Netral,Netral,16/02/2024
,kenariaa,https://www.tiktok.com/@kenariaa,jualan parfum tapi gak ada penjelasan wangi nya,Negatif,Negatif,16/02/2024
,hadihabibi24,https://www.tiktok.com/@hadihabibi24,Wangi nya menyengat banget bikin sakit kepala,Negatif,Negatif,16/02/2024
,dikiwahyudi9292,https://www.tiktok.com/@dikiwahyudi9292,parah aku beli dominant dapet yang palsu mulu,Negatif,Negatif,16/02/2024
,agungcahyo86,https://www.tiktok.com/@agungcahyo86,parah saya scan kode nya kok ga muncul yah,Negatif,Netral,15/02/2024
,rumahkulinerbanjit,https://www.tiktok.com/@rumahkulinerbanjit,jelek kualitas nya kalo di pakai baju putih jadi kuning,Negatif,Negatif,15/02/2024
,kokoh_sa,https://www.tiktok.com/@kokoh_sa,"banyak penjual yang jual palsu nya kak, kasian orang orang yang beli",Negatif,Negatif,15/02/2024
,rezaaaskndr,https://www.tiktok.com/@rezaaaskndr,dominant enak sih aroma nya buat sekolah,Positif,Positif,15/02/2024
,dyannsastro,https://www.tiktok.com/@dyannsastro,ka buat cewek sekolah apa yang enak?,Netral,Netral,15/02/2024
,kojel0325,https://www.tiktok.com/@kojel0325,"buat aku yang anak sekolahan, masih masuk di kantong sih harga nya,wangi nya juga cocok buat anak sekolah",Positif,Positif,15/02/2024
,jhoevhanridhoe,https://www.tiktok.com/@jhoevhanridhoe,boong saya udah beli wangi nya cepat ilang,Negatif,Negatif,15/02/2024
,jepridongkol0,https://www.tiktok.com/@jepridongkol0,botol nya bocor pas mau di semprot,Negatif,Negatif,15/02/2024
,lnwlf____,https://www.tiktok.com/@lnwlf____,"parfum andalan dari zaman sekolah udah pakai, emang lembut banget wangi nya",Positif,Positif,15/02/2024
,cinematicmotordanbus,https://www.tiktok.com/@cinematicmotordanbus,kak tadi aku beli di tiktok shop dapat yang palsu tiga puluh ribu dapat tiga parfum ,Negatif,Negatif,15/02/2024
,ilhamsaputra769,https://www.tiktok.com/@ilhamsaputra769,"kenapa pas sisa sedikit gak cocok sama baju warna putih, baju nya jadi kuning",Negatif,Negatif,15/02/2024
,wnrailfans,https://www.tiktok.com/@wnrailfans,kak aku udah beli tapi pas aku scan ada pesan kata nya gini produk ini belum terdaftar di shield massa ini palsu padahal aku beli nya di live nya scentplus official aku beli yang sepuluh mili,Negatif,Negatif,15/02/2024
,mxkujamet55,https://www.tiktok.com/@mxkujamet55,rekomendasi parfum yang buat sekolah sama jalan-jalan apa yah ka?,Netral,Netral,14/02/2024
,degholix16,https://www.tiktok.com/@degholix16,parah udah dua mingguan beli barang nya gak datang datang,Negatif,Negatif,14/02/2024
,axxgood3,https://www.tiktok.com/@axxgood3,ga suka sama wangi nya terlalu kuat buat anak sekolah,Negatif,Negatif,14/02/2024
,ziyad___________,https://www.tiktok.com/@ziyad___________,bau nya awet banget kak kalo kena asap rokok,Positif,Positif,14/02/2024
,gbutmann,https://www.tiktok.com/@gbutmann,dominant terbaik untuk menemati sekolah aku,Positif,Positif,14/02/2024
,jumriadi.16,https://www.tiktok.com/@jumriadi.16,coba coba beli seratus mili pas sampai sangat memuaskan mantap wangi nya selanjut nya beli parfum ini terus,Positif,Positif,14/02/2024
,cucusugiono99,https://www.tiktok.com/@cucusugiono99,kurang harum,Negatif,Negatif,13/02/2024
,dvndkaa_,https://www.tiktok.com/@dvndkaa_,beli di toko offline ada ga kak,Netral,Netral,13/02/2024
,ultramanbaik0,https://www.tiktok.com/@ultramanbaik0,enak banget Mr Crush seger wangi nya,Positif,Positif,13/02/2024
,imam.jr99,https://www.tiktok.com/@imam.jr99,dominant ga bisa di pake ke baju putih malah kuning,Negatif,Negatif,13/02/2024
,rendy170402,https://www.tiktok.com/@rendy170402,boong biasa aja wangi parfum murahan,Negatif,Negatif,13/02/2024
,ongkyherlambang,https://www.tiktok.com/@ongkyherlambang,dominant cocok banget buat kerja di ruangan ac,Positif,Positif,13/02/2024
,l.mugly1.10,https://www.tiktok.com/@l.mugly1.10,udah pernah coba yang kecil wangi nya tahan lama banget,Positif,Positif,13/02/2024
,saktiwantemas,https://www.tiktok.com/@saktiwantemas,"paling enak buat sekolah sih, cowok cowok pada liatin aku pada deket deket",Positif,Positif,13/02/2024
,bayurfki_,https://www.tiktok.com/@bayurfki_,dominant sih wangi kalo udah kering gitu kaya bedak switsal,Positif,Positif,13/02/2024
,saepuloh.189,https://www.tiktok.com/@saepuloh.189,pengiriman nya lama banget,Negatif,Negatif,13/02/2024
,gacor77_,https://www.tiktok.com/@gacor77_,mau nanya ka untuk harga kaos dominant nya berapa ka,Netral,Netral,13/02/2024
,tanfamaaa,https://www.tiktok.com/@tanfamaaa,"pusing aku pake parfum ini, wangi nya kuat banget",Negatif,Negatif,12/02/2024
,fajarnurmukhlis92,https://www.tiktok.com/@fajarnurmukhlis92,asli saya beli parfum scentplus yang varian mr crush black yang seratus mili wangi nya delapan jam saya pake kerja di outdoor mantap lah poko nya scentplus,Positif,Positif,12/02/2024
,bayoalogo21,https://www.tiktok.com/@bayoalogo21,Aroma apa ya kak yang bagus untuk sekolah,Netral,Netral,12/02/2024
,hasan.ansari74,https://www.tiktok.com/@hasan.ansari74,"saya pesan dominant yang lima puluh mili tapi sampai sekarang belum sampai ke saya padahal udah di jnt setempat, kek mana nih ka",Negatif,Negatif,12/02/2024
,arn1766,https://www.tiktok.com/@arn1766,gak enak bau nya. kaya parfum isi ulang pinggir jalan,Negatif,Negatif,12/02/2024
,gawa.sega,https://www.tiktok.com/@gawa.sega,untuk harga jaket nya berapa itu ka,Netral,Netral,12/02/2024
,bapanesyanin_22f,https://www.tiktok.com/@bapanesyanin_22f,kak ada wangi parfum yang cocok untuk sekolah tidak,Netral,Netral,11/02/2024
,wayan120,https://www.tiktok.com/@wayan120,gak awet wangi nya pas di pakai,Negatif,Negatif,11/02/2024
,hopebagak,https://www.tiktok.com/@hopebagak,biaya pengiriman nya mahal banget,Negatif,Negatif,11/02/2024
,skincare_masagitu1,https://www.tiktok.com/@skincare_masagitu1,AKU PAKAI INI  sampai banyak yang meminjam di sekolah karena wangi nya se enak itu,Positif,Positif,11/02/2024
,terlambat03,https://www.tiktok.com/@terlambat03,pasangan aku gak suka harum nya,Negatif,Negatif,11/02/2024
,ningsihsilalahi5,https://www.tiktok.com/@ningsihsilalahi5,gak enak wangi nya,Negatif,Negatif,11/02/2024
,bhontot882,https://www.tiktok.com/@bhontot882,"parah sih parfum yang ungu itu enak banget , udah botol ketiga , setiap sekolah selalu di tanya pake parfum apa karna se enak itu",Positif,Positif,11/02/2024
,uuwooeeyyy,https://www.tiktok.com/@uuwooeeyyy,beli di sini wangi nya gak enak kaya baygon,Negatif,Negatif,11/02/2024
,user30879131041876,https://www.tiktok.com/@user30879131041876,minyak wangi bisa buat sholat gak kak,Netral,Netral,10/02/2024
,rianariyanto23,https://www.tiktok.com/@rianariyanto23,"udah gak ke hitung udah beli berapa kali, tapi belum dapet bonusan nih dari admin",Negatif,Negatif,10/02/2024
,acong2405,https://www.tiktok.com/@acong2405,wangi nya emang enak banget sih,Positif,Positif,10/02/2024
,tania.phan,https://www.tiktok.com/@tania.phan,Aku suka banget sama aroma nya suami aku kalo pake parfum ini pasti aku bilang kamu wangi banget sih,Positif,Positif,09/02/2024
,zakheusbnri25,https://www.tiktok.com/@zakheusbnri25,sumpah aku suka banget parfum mr crush sama pro player dua dua nya enak,Positif,Positif,09/02/2024
,ermust10,https://www.tiktok.com/@ermust10,hebat scentplus ini saya acungkan empat jempol untuk tim marketing nya,Positif,Positif,09/02/2024
,zakheusbnri25,https://www.tiktok.com/@zakheusbnri25,Mr crush itu wangi nya mahal banget asli jadi parfum favorit aku,Positif,Positif,09/02/2024
,tuoangbobo,https://www.tiktok.com/@tuoangbobo,emang wangi nya boleh sewangi itu,Positif,Positif,09/02/2024
,heryaman250,https://www.tiktok.com/@heryaman250,saya suka banget wangi nya yang dominant ,Positif,Positif,09/02/2024
,jefripratama1234,https://www.tiktok.com/@jefripratama1234,aku suka banget wangi hnry side effect ,Positif,Positif,09/02/2024
,rachmat8363,https://www.tiktok.com/@rachmat8363,aku udah coba yang sepuluh mili emang terbaik wangi nya kak,Positif,Positif,09/02/2024
,ocelothardware,https://www.tiktok.com/@ocelothardware,"Dominant wangi nya tidak terlalu tahan lama
",Negatif,Negatif,08/02/2024
,apaapaaja_123,https://www.tiktok.com/@apaapaaja_123,punya saya kok cepat banget ilang wangi nya padahal mahal seratus delapan puluh ribu yang tiga puluh lima mili,Negatif,Negatif,08/02/2024
,scorpio7978,https://www.tiktok.com/@scorpio7978,udah sering beli..terbaik lah pokok nya,Positif,Positif,08/02/2024
,hanting123,https://www.tiktok.com/@hanting123,ongkir nya mahal,Negatif,Negatif,08/02/2024
,wherespey,https://www.tiktok.com/@wherespey,cowok aku pake parfum ini masih ada wangi nya di baju seminggu,Positif,Positif,08/02/2024
,menik6426,https://www.tiktok.com/@menik6426,awet banget wangi nya,Positif,Positif,08/02/2024
,esiastore_,https://www.tiktok.com/@esiastore_,Biasa aja wangi  nya ga suka aku,Negatif,Negatif,08/02/2024
,jennqt0000,https://www.tiktok.com/@jennqt0000,mahal doang wangi nya cepet ilang,Negatif,Negatif,08/02/2024
,blackxmonokoro,https://www.tiktok.com/@blackxmonokoro,Alhamdulillah aku pake scentplus dominant harum nya dua hari gak hilang,Positif,Positif,07/02/2024
